Area,Price per Month,Address,City,Price,Name,contact_details
"1,140-2,385 ft²","$4,370-9,142/mo",2727 182 Street SW,"Edmonton, AB","$46.00/sf/yr$4,370-9,142/mo",Noah Issa,https://www.spacelist.ca/listings/809877/ab/edmonton/for-lease/office-retail/2727_182_street_sw
"856-7,237 ft²",Contact,1887 17 Street Northwest,"Edmonton, AB",ContactContact,Noah Issa,https://www.spacelist.ca/listings/802621/ab/edmonton/for-lease/office-retail/1887_17_street_northwest
"1,292 ft²","$3,404/mo",UNIT 20 - 12981 50 Street Northwest,"Edmonton, AB","$31.62/sf/yr$3,404/mo",Noah Issa,https://www.spacelist.ca/listings/778632/ab/edmonton/for-lease/retail/unit_20-12981_50_street_northwest
"977-2,185 ft²",Contact,103 &104 - 5003 55 Ave NW,"Edmonton, AB",ContactContact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/745496/ab/edmonton/for-lease/office-retail-medical/103_104-5003_55_ave_nw
"1,100-34,000 ft²",Contact,"3, 7-9 - 3341 153 Avenue Northwest","Edmonton, AB",ContactContact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/715222/ab/edmonton/for-lease/office-retail-medical/3_7-9-3341_153_avenue_northwest
"1,300-25,000 ft²",Contact,1-12 - 3325 153 Avenue Northwest,"Edmonton, AB",ContactContact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/668661/ab/edmonton/for-lease/office-retail-medical/1-12-3325_153_avenue_northwest
"1,175 ft²","$2,741/mo",Unit K - 8927 82 Avenue Northwest,"Edmonton, AB","$28.00/sf/yr$2,741/mo",Suki Keomanivong,https://www.spacelist.ca/listings/589351/ab/edmonton/for-lease/retail-medical-multifamily/unit_k-8927_82_avenue_northwest
"1,157 ft²",Not available,3 - 3341 153 Avenue Northwest,"Edmonton, AB",Contact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/715227/ab/edmonton/for-sale/office-retail-medical/3-3341_153_avenue_northwest
"977-2,093 ft²",Contact,101 &102 - 5003 55 Ave NW,"Edmonton, AB",ContactContact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/745644/ab/edmonton/for-lease/office-retail-medical/101_102-5003_55_ave_nw
"1,161-35,000 ft²","$4,837-145,832/mo",5335 Edgemont Boulevard Northwest,"Edmonton, AB","$50.00/sf/yr$4,837-145,832/mo",Noah Issa,https://www.spacelist.ca/listings/811925/ab/edmonton/for-lease/retail/5335_edgemont_boulevard_northwest
"7,600 ft²",Not available,13 - 9913 73 Ave NW,"Edmonton, AB","$1,300,000",Jim McKinnon,https://www.spacelist.ca/listings/808720/ab/edmonton/for-sale/office-retail-industrial/13-9913_73_ave_nw
"1,600 ft²",Contact,103 - 10430 61 Avenue Northwest,"Edmonton, AB",ContactContact,Camille Lorieau,https://www.spacelist.ca/listings/309437/ab/edmonton/for-lease/retail/103-10430_61_avenue_northwest
"1,900 ft²",Not available,7 - 3381 153 Avenue Northwest,"Edmonton, AB",Contact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/715533/ab/edmonton/for-sale/office-retail-medical/7-3381_153_avenue_northwest
"1,200 ft²",Not available,11 - 3381 153 Avenue Northwest,"Edmonton, AB",Contact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/715569/ab/edmonton/for-sale/office-retail-medical/11-3381_153_avenue_northwest
"300-1,924 ft²",$650/mo,PIAZZA - 10825 95 Street,"Edmonton, AB",$26.00/sf/yr$650/mo,Erin Kobayashi,https://www.spacelist.ca/listings/731996/ab/edmonton/for-lease/retail-medical/piazza-10825_95_street
"100-1,924 ft²",$216/mo,1 - 10825 95 Street,"Edmonton, AB",$26.00/sf/yr$216/mo,Erin Kobayashi,https://www.spacelist.ca/listings/732027/ab/edmonton/for-lease/retail-medical/1-10825_95_street
"1,399 ft²","$2,681/mo",110 - 1803 91 St SW,"Edmonton, AB","$23.00/sf/yr$2,681/mo",Radhika Venugopal,https://www.spacelist.ca/listings/812327/ab/edmonton/for-lease/retail/110-1803_91_st_sw
"6,436 ft²","$6,972/mo",1 - 9403 20 Avenue Northwest,"Edmonton, AB","$13.00/sf/yr$6,972/mo",Jim McKinnon,https://www.spacelist.ca/listings/813098/ab/edmonton/for-lease/retail-industrial-other/1-9403_20_avenue_northwest
"3,500 ft²","$7,291/mo",1 - 10313 82 Avenue Northwest,"Edmonton, AB","$25.00/sf/yr$7,291/mo",Erin Kobayashi,https://www.spacelist.ca/listings/814693/ab/edmonton/for-lease/office-retail/1-10313_82_avenue_northwest
"1,400 ft²","$1,400/mo",100 - 10029 166 Street Northwest,"Edmonton, AB","$12.00/sf/yr$1,400/mo",Erin Kobayashi,https://www.spacelist.ca/listings/783922/ab/edmonton/for-lease/office-retail-other/100-10029_166_street_northwest
