Area,Price per Month,Address,City,Price,Name,contact_details
"2,050 ft²","$6,833/mo",254 - 181 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$6,833/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776205/on/toronto/for-lease/office/254-181_carlaw_ave
"2,150 ft²","$7,166/mo",314 - 181 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$7,166/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776203/on/toronto/for-lease/office/314-181_carlaw_ave
"1,348 ft²","$4,493/mo",01 - 866 The Queensway,"Toronto, ON","$40.00/sf/yr$4,493/mo",Rory McCaw,https://www.spacelist.ca/listings/799295/on/toronto/for-lease/office-medical/01-866_the_queensway
"5,200 ft²","$8,068/mo",1 - 83 Bakersfield Street,"Toronto, ON","$18.62/sf/yr$8,068/mo",Sam Shah,https://www.spacelist.ca/listings/803997/on/toronto/for-lease/industrial/1-83_bakersfield_street
604 ft²,"$1,963/mo",209 - 290 Carlaw Avenue,"Toronto, ON","$39.00/sf/yr$1,963/mo",David Fraser,https://www.spacelist.ca/listings/810165/on/toronto/for-lease/office/209-290_carlaw_avenue
923 ft²,"$2,846/mo",215 - 260 Carlaw Ave,"Toronto, ON","$37.00/sf/yr$2,846/mo",David Fraser,https://www.spacelist.ca/listings/810159/on/toronto/for-lease/office/215-260_carlaw_ave
165 ft²,Not available,301 - 32 Britain Street,"Toronto, ON","$2,500/mo",Verkspace,https://www.spacelist.ca/listings/191578/on/toronto/for-lease/office/301-32_britain_street
165 ft²,Not available,404 - 32 Britain Street,"Toronto, ON","$2,750/mo",Verkspace,https://www.spacelist.ca/listings/278433/on/toronto/for-lease/office/404-32_britain_street
260 ft²,Not available,403 - 32 Britain Street,"Toronto, ON","$4,500/mo",Verkspace,https://www.spacelist.ca/listings/184289/on/toronto/for-lease/office/403-32_britain_street
350 ft²,Not available,401 - 32 Britain Street,"Toronto, ON","$5,500/mo",Verkspace,https://www.spacelist.ca/listings/319350/on/toronto/for-lease/office/401-32_britain_street
"1,400 ft²","$4,433/mo",100 - 866 The Queensway,"Toronto, ON","$38.00/sf/yr$4,433/mo",Rory McCaw,https://www.spacelist.ca/listings/804456/on/toronto/for-lease/office-medical/100-866_the_queensway
"6,500-11,170 ft²","$20,041/mo",301A - 181 Carlaw Ave,"Toronto, ON","$37.00/sf/yr$20,041/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776207/on/toronto/for-lease/office/301a-181_carlaw_ave
"1,757 ft²","$6,443/mo",102 - 262 Carlaw Ave,"Toronto, ON","$44.00/sf/yr$6,443/mo",David Fraser,https://www.spacelist.ca/listings/810317/on/toronto/for-lease/office/102-262_carlaw_ave
"1,783 ft²","$5,052/mo",310 - 276 Carlaw Avenue,"Toronto, ON","$34.00/sf/yr$5,052/mo",David Fraser,https://www.spacelist.ca/listings/810320/on/toronto/for-lease/office/310-276_carlaw_avenue
"8,733 ft²","$25,296/mo",403 - 2005 Sheppard Avenue East,"Toronto, ON","$34.76/sf/yr$25,296/mo",Allan Taylor,https://www.spacelist.ca/listings/816911/on/toronto/for-lease/office/403-2005_sheppard_avenue_east
"5,000-19,871 ft²","$14,482-57,558/mo",700 - 2005 Sheppard Avenue East,"Toronto, ON","$34.76/sf/yr$14,482-57,558/mo",Allan Taylor,https://www.spacelist.ca/listings/816924/on/toronto/for-lease/office/700-2005_sheppard_avenue_east
"5,000-19,871 ft²","$14,482-57,558/mo",700 - 2005 Sheppard Avenue East,"Toronto, ON","$34.76/sf/yr$14,482-57,558/mo",Allan Taylor,https://www.spacelist.ca/listings/816923/on/toronto/for-lease/office/700-2005_sheppard_avenue_east
"12,000 ft²","$25,900/mo",400 - Horner Avenue,"Toronto, ON","$25.90/sf/yr$25,900/mo",Ramit Kar,https://www.spacelist.ca/listings/795761/on/toronto/for-lease/industrial/400-horner_avenue
"2,500 ft²",Not available,300 - 32 Britain Street,"Toronto, ON","$15,000/mo",Verkspace,https://www.spacelist.ca/listings/779020/on/toronto/for-lease/office/300-32_britain_street
"1,500 ft²","$3,450/mo",500 - 393 Attwell Drive,"Toronto, ON","$27.60/sf/yr$3,450/mo",Ramit Kar,https://www.spacelist.ca/listings/790502/on/toronto/for-lease/industrial/500-393_attwell_drive
"1,700 ft²","$2,600/mo",700 - 103 Thursfield Crescent,"Toronto, ON","$18.35/sf/yr$2,600/mo",Ramit Kar,https://www.spacelist.ca/listings/803976/on/toronto/for-lease/industrial/700-103_thursfield_crescent
"1,543 ft²","$5,144/mo",121 - 302 Carlaw Avenue,"Toronto, ON","$40.01/sf/yr$5,144/mo",David Fraser,https://www.spacelist.ca/listings/810327/on/toronto/for-lease/office/121-302_carlaw_avenue
25 ft²,$100/mo,Virtual Office - 4950 Yonge Street,"Toronto, ON",$48.00/sf/yr$100/mo,Sandy Doobay,https://www.spacelist.ca/listings/782923/on/toronto/for-lease/other/virtual_office-4950_yonge_street
950 ft²,"$3,340/mo",229 - 181 Carlaw Ave,"Toronto, ON","$42.20/sf/yr$3,340/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776214/on/toronto/for-lease/office/229-181_carlaw_ave
"2,500 ft²","$15,500/mo",300 - 32 Britain Street,"Toronto, ON","$74.40/sf/yr$15,500/mo",Verkspace,https://www.spacelist.ca/listings/779162/on/toronto/for-lease/office/300-32_britain_street
260 ft²,Not available,103 - 32 Britain Street,"Toronto, ON","$4,500/mo",Verkspace,https://www.spacelist.ca/listings/793356/on/toronto/for-lease/office/103-32_britain_street
"11,500 ft²","$21,950/mo",400 - 85 Bakersfield Street,"Toronto, ON","$22.90/sf/yr$21,950/mo",Ramit Kar,https://www.spacelist.ca/listings/595799/on/toronto/for-lease/industrial/400-85_bakersfield_street
